#,topic,tentative_subtema,knowledge_class,relative_path,doc_id
464,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-67-1979.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-67-1979.md
465,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-67-1983.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-67-1983.md
466,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-675-2001.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-675-2001.md
467,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-685-2001.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-685-2001.md
468,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-687-2001.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-687-2001.md
469,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-7-1991.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-7-1991.md
470,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-715-2001.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-715-2001.md
471,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-768-2002.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-768-2002.md
472,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-79-1988.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-79-1988.md
473,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-790-2002.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-790-2002.md
474,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-795-2003.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-795-2003.md
475,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-808-2020.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-808-2020.md
476,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-811-2003.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-811-2003.md
477,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-814-2003.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-814-2003.md
478,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-824-2003.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-824-2003.md
479,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-833-2003.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-833-2003.md
480,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-84-1989.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-84-1989.md
481,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-9-1979.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-9-1979.md
482,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-9-1989.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-9-1989.md
483,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-902-2017.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-902-2017.md
484,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-939-2004.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-939-2004.md
485,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-95-1890.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-95-1890.md
486,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-964-2005.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-964-2005.md
487,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-973-2005.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-973-2005.md
488,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-986-2005.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-986-2005.md
